,y0,y1,height,width,front_area,datetime_enter,datetime_leave,duration,class_1,class_2,timedelta_start,timedelta_end,audio_start_s,audio_end_s
994,396,547,145,151,21895,2022-09-22 12:23:57.801,2022-09-22 12:23:58.201,0.4,medium,medium_small,0 days 02:18:47.801000,0 days 02:18:48.201000,8327,8329
996,357,532,150,175,26250,2022-09-22 12:24:11.775,2022-09-22 12:24:12.161,0.386,medium,medium_big,0 days 02:19:01.775000,0 days 02:19:02.161000,8340,8342
998,105,287,265,182,48230,2022-09-22 12:24:29.922,2022-09-22 12:24:30.495,0.573,medium,medium_big,0 days 02:19:19.922000,0 days 02:19:20.495000,8359,8361
1000,365,537,169,172,29068,2022-09-22 12:24:36.896,2022-09-22 12:24:37.242,0.346,medium,medium_big,0 days 02:19:26.896000,0 days 02:19:27.242000,8366,8368
1002,349,507,189,158,29862,2022-09-22 12:25:33.644,2022-09-22 12:25:33.992,0.348,medium,medium_small,0 days 02:20:23.644000,0 days 02:20:23.992000,8422,8424
1004,389,551,155,162,25110,2022-09-22 12:25:44.472,2022-09-22 12:25:44.805,0.333,medium,medium,0 days 02:20:34.472000,0 days 02:20:34.805000,8433,8435
1006,155,312,149,157,23393,2022-09-22 12:26:05.765,2022-09-22 12:26:06.059,0.294,medium,medium_small,0 days 02:20:55.765000,0 days 02:20:56.059000,8454,8456
1008,140,404,424,264,111936,2022-09-22 12:26:20.646,2022-09-22 12:26:23.233,2.587,large,large,0 days 02:21:10.646000,0 days 02:21:13.233000,8470,8472
1010,106,288,146,182,26572,2022-09-22 12:26:41.820,2022-09-22 12:26:42.087,0.267,medium,medium_big,0 days 02:21:31.820000,0 days 02:21:32.087000,8490,8492
1012,395,549,160,154,24640,2022-09-22 12:26:58.835,2022-09-22 12:26:59.140,0.305,medium,medium_small,0 days 02:21:48.835000,0 days 02:21:49.140000,8507,8509
1014,369,545,191,176,33616,2022-09-22 12:27:01.967,2022-09-22 12:27:02.435,0.468,medium,medium_big,0 days 02:21:51.967000,0 days 02:21:52.435000,8511,8513
1016,395,556,142,161,22862,2022-09-22 12:27:04.555,2022-09-22 12:27:04.941,0.386,medium,medium,0 days 02:21:54.555000,0 days 02:21:54.941000,8513,8515
1018,134,303,168,169,28392,2022-09-22 12:27:09.861,2022-09-22 12:27:10.368,0.507,medium,medium,0 days 02:21:59.861000,0 days 02:22:00.368000,8519,8521
1020,154,331,165,177,29205,2022-09-22 12:27:12.835,2022-09-22 12:27:13.208,0.373,medium,medium_big,0 days 02:22:02.835000,0 days 02:22:03.208000,8522,8524
1022,92,248,168,156,26208,2022-09-22 12:27:27.968,2022-09-22 12:27:28.396,0.428,medium,medium_small,0 days 02:22:17.968000,0 days 02:22:18.396000,8537,8539
1024,504,566,175,62,10850,2022-09-22 12:27:37.276,2022-09-22 12:27:37.408,0.132,small,small,0 days 02:22:27.276000,0 days 02:22:27.408000,8546,8548
1026,475,522,179,47,8413,2022-09-22 12:27:38.196,2022-09-22 12:27:38.289,0.093,small,small,0 days 02:22:28.196000,0 days 02:22:28.289000,8547,8549
1028,381,543,145,162,23490,2022-09-22 12:27:59.463,2022-09-22 12:27:59.809,0.346,medium,medium,0 days 02:22:49.463000,0 days 02:22:49.809000,8568,8570
