iter	Passed	Remaining
597	3320	2231
598	3323	2224
599	3326	2217
600	3330	2210
601	3333	2203
602	3336	2196
603	3339	2189
604	3342	2182
605	3345	2175
606	3348	2168
607	3352	2161
608	3355	2154
609	3358	2147
610	3361	2140
611	3364	2133
612	3368	2126
613	3371	2119
614	3374	2112
615	3378	2106
616	3381	2099
617	3385	2092
618	3389	2085
619	3392	2079
620	3395	2072
621	3398	2065
622	3401	2058
623	3405	2051
624	3408	2045
625	3411	2038
626	3415	2031
627	3418	2024
628	3421	2018
629	3425	2011
630	3428	2004
631	3431	1998
632	3434	1991
633	3437	1984
634	3440	1977
635	3443	1971
636	3447	1964
637	3451	1958
638	3454	1951
639	3457	1944
640	3460	1937
641	3463	1931
642	3467	1925
643	3470	1918
644	3473	1912
645	3477	1905
646	3480	1899
647	3483	1892
648	3486	1885
649	3490	1879
650	3493	1872
651	3496	1866
652	3499	1859
653	3503	1853
654	3507	1847
655	3510	1840
656	3513	1834
657	3516	1827
658	3520	1821
659	3523	1815
660	3526	1808
661	3529	1802
662	3533	1795
663	3536	1789
664	3541	1784
665	3547	1779
666	3553	1774
667	3556	1767
668	3562	1762
669	3566	1756
670	3571	1751
671	3575	1745
672	3579	1739
673	3583	1733
674	3587	1727
675	3591	1721
676	3596	1715
677	3600	1709
678	3604	1703
679	3607	1697
680	3612	1692
681	3615	1686
682	3619	1680
683	3624	1674
684	3627	1668
685	3631	1662
686	3635	1656
687	3639	1650
688	3643	1644
689	3647	1638
690	3651	1632
691	3654	1626
692	3659	1621
693	3662	1614
694	3667	1609
695	3670	1603
696	3675	1597
697	3678	1591
698	3683	1586
699	3686	1580
700	3691	1574
701	3694	1568
702	3699	1562
703	3702	1556
704	3707	1551
705	3711	1545
706	3716	1540
707	3722	1535
708	3726	1529
709	3731	1524
710	3735	1518
711	3740	1513
712	3745	1507
713	3756	1504
714	3760	1498
715	3765	1493
716	3772	1488
717	3776	1483
718	3782	1478
719	3790	1474
720	3795	1468
721	3799	1463
722	3805	1457
723	3810	1452
724	3815	1447
725	3821	1442
726	3826	1436
727	3831	1431
728	3837	1426
729	3842	1421
730	3847	1415
731	3851	1410
732	3855	1404
733	3860	1399
734	3864	1393
735	3870	1388
736	3873	1382
737	3878	1376
738	3882	1371
739	3886	1365
740	3890	1359
741	3894	1354
742	3897	1348
743	3901	1342
744	3905	1336
745	3909	1331
746	3913	1325
747	3918	1319
748	3922	1314
749	3926	1308
750	3930	1303
751	3934	1297
752	3938	1291
753	3942	1286
754	3946	1280
755	3950	1274
756	3954	1269
757	3958	1263
758	3962	1258
759	3966	1252
760	3969	1246
761	3973	1240
762	3977	1235
763	3981	1229
764	3985	1224
765	3989	1218
766	3994	1213
767	3998	1207
768	4004	1202
769	4007	1197
770	4012	1191
771	4015	1185
772	4020	1180
773	4024	1175
774	4029	1169
775	4032	1164
776	4038	1159
777	4043	1153
778	4047	1148
779	4052	1143
780	4056	1137
781	4060	1132
782	4064	1126
783	4069	1121
784	4073	1115
785	4078	1110
786	4082	1105
787	4087	1099
788	4091	1094
789	4096	1088
790	4102	1083
791	4109	1079
792	4116	1074
793	4120	1069
794	4128	1064
795	4135	1059
796	4140	1054
797	4145	1049
798	4151	1044
799	4156	1039
800	4160	1033
801	4164	1028
802	4168	1022
803	4173	1017
804	4177	1011
805	4181	1006
806	4185	1000
807	4189	995
808	4192	989
809	4197	984
810	4201	979
811	4205	973
812	4208	968
813	4212	962
814	4215	956
815	4219	951
816	4222	945
817	4226	940
818	4229	934
819	4233	929
820	4237	923
821	4240	918
822	4245	912
823	4248	907
824	4252	901
825	4255	896
826	4258	890
827	4261	885
828	4264	879
829	4267	874
830	4270	868
831	4273	863
832	4277	857
833	4281	852
834	4284	846
835	4288	841
836	4291	835
837	4295	830
838	4298	824
839	4302	819
840	4305	814
841	4309	808
842	4312	803
843	4316	797
844	4320	792
845	4323	787
846	4326	781
847	4330	776
848	4333	770
849	4337	765
850	4341	760
851	4345	754
852	4348	749
853	4352	744
854	4355	738
855	4359	733
856	4362	727
857	4366	722
858	4371	717
859	4376	712
860	4380	707
861	4385	702
862	4391	697
863	4396	692
864	4402	687
865	4405	681
866	4410	676
867	4416	671
868	4420	666
869	4424	661
870	4428	655
871	4432	650
872	4436	645
873	4441	640
874	4446	635
875	4450	629
876	4455	624
877	4458	619
878	4462	614
879	4466	609
880	4470	603
881	4473	598
882	4477	593
883	4481	588
884	4485	582
885	4489	577
886	4492	572
887	4497	567
888	4500	561
889	4505	556
890	4508	551
891	4513	546
892	4516	541
893	4521	536
894	4524	530
895	4529	525
896	4532	520
897	4536	515
898	4540	510
899	4544	504
900	4548	499
901	4553	494
902	4556	489
903	4563	484
904	4567	479
905	4571	474
906	4577	469
907	4581	464
908	4585	459
909	4589	453
910	4594	448
911	4597	443
912	4601	438
913	4605	433
914	4610	428
915	4614	423
916	4618	418
917	4622	412
918	4627	407
919	4632	402
920	4638	397
921	4644	392
922	4650	388
923	4654	382
924	4661	377
925	4667	372
926	4673	368
927	4680	363
928	4687	358
929	4693	353
930	4697	348
931	4701	343
932	4706	338
933	4712	333
934	4719	328
935	4727	323
936	4734	318
937	4741	313
938	4746	308
939	4750	303
940	4754	298
941	4759	293
942	4764	288
943	4768	282
944	4772	277
945	4776	272
946	4782	267
947	4786	262
948	4789	257
949	4793	252
950	4797	247
951	4801	242
952	4805	236
953	4809	231
954	4813	226
955	4817	221
956	4821	216
957	4824	211
958	4828	206
959	4832	201
960	4837	196
961	4841	191
962	4846	186
963	4850	181
964	4854	176
965	4859	171
966	4863	165
967	4868	160
968	4873	155
969	4878	150
970	4884	145
971	4888	140
972	4893	135
973	4900	130
974	4906	125
975	4911	120
976	4916	115
977	4923	110
978	4929	105
979	4938	100
980	4944	95
981	4950	90
982	4955	85
983	4960	80
984	4966	75
985	4970	70
986	4975	65
987	4978	60
988	4983	55
989	4985	50
990	4989	45
991	4991	40
992	4994	35
993	4997	30
994	5000	25
995	5002	20
996	5005	15
997	5008	10
998	5011	5
999	5013	0
996	5191	15
997	5199	10
998	5206	5
999	5214	0
14923	752
952	14941	736
953	14957	721
954	14975	705
955	14981	689
956	14992	673
957	15010	658
958	15025	642
959	15037	626
960	15050	610
961	15064	595
962	15080	579
963	15090	563
964	15100	547
965	15115	532
966	15145	516
967	15164	501
968	15175	485
969	15188	469
970	15198	453
971	15211	438
972	15223	422
973	15238	406
974	15253	391
975	15264	375
976	15276	359
977	15289	343
978	15299	328
979	15309	312
980	15326	296
981	15337	281
982	15348	265
983	15361	249
984	15377	234
985	15388	218
986	15396	202
987	15405	187
988	15450	171
989	15462	156
990	15477	140
991	15484	124
992	15491	109
993	15496	93
994	15519	77
995	15526	62
996	15532	46
997	15536	31
998	15541	15
999	15548	0
15378	30
998	15386	15
999	15395	0
98	15359	15
999	15375	0
